epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.2396,1.7252,1.66559,1.40379,0.50934,0.51048,0.457,0.20911,1.80686,2.815,1.54206,0.000662132,0.000662132,0.000662132
2,57.7757,1.76072,1.53193,1.41112,0.55074,0.49951,0.47983,0.22195,1.77799,1.70793,1.47048,0.00131564,0.00131564,0.00131564
3,85.5425,1.76378,1.53066,1.42018,0.49081,0.48231,0.43649,0.21501,1.76196,1.98272,1.4752,0.00195595,0.00195595,0.00195595
4,112.554,1.72256,1.4619,1.39609,0.46511,0.44497,0.36948,0.17932,1.8259,1.89883,1.51706,0.0019406,0.0019406,0.0019406
5,139.668,1.68835,1.42163,1.36954,0.59229,0.54029,0.54911,0.26343,1.70639,1.52136,1.39764,0.0019208,0.0019208,0.0019208
6,166.691,1.67218,1.38479,1.36137,0.63596,0.56174,0.59508,0.29392,1.66605,1.38849,1.37228,0.001901,0.001901,0.001901
7,193.773,1.64689,1.34318,1.33734,0.56419,0.53619,0.52634,0.27016,1.66111,1.44745,1.38995,0.0018812,0.0018812,0.0018812
8,220.369,1.62795,1.35129,1.344,0.63767,0.59663,0.60917,0.30839,1.60962,1.3455,1.33771,0.0018614,0.0018614,0.0018614
9,247.119,1.60245,1.30156,1.32533,0.63528,0.59613,0.61395,0.31229,1.58582,1.32302,1.32688,0.0018416,0.0018416,0.0018416
10,273.756,1.58719,1.27965,1.31608,0.63338,0.56174,0.59369,0.30605,1.56499,1.32521,1.32497,0.0018218,0.0018218,0.0018218
11,299.954,1.59103,1.26724,1.31082,0.59906,0.55798,0.57766,0.30199,1.59171,1.34226,1.33942,0.001802,0.001802,0.001802
12,326.501,1.56438,1.2465,1.29778,0.6413,0.58025,0.62147,0.32669,1.54332,1.26939,1.31123,0.0017822,0.0017822,0.0017822
13,352.708,1.56217,1.2454,1.30365,0.6693,0.61218,0.65538,0.3497,1.51372,1.17071,1.28059,0.0017624,0.0017624,0.0017624
14,381.301,1.54921,1.20857,1.28043,0.67024,0.58926,0.64002,0.34497,1.51144,1.20704,1.27452,0.0017426,0.0017426,0.0017426
15,412.282,1.53664,1.19405,1.27769,0.61757,0.58189,0.61044,0.32865,1.53124,1.23228,1.29334,0.0017228,0.0017228,0.0017228
16,439.693,1.51197,1.17055,1.2726,0.66224,0.6101,0.65584,0.35387,1.48933,1.17743,1.27676,0.001703,0.001703,0.001703
17,467.556,1.50792,1.15971,1.26845,0.66894,0.61153,0.65627,0.35087,1.51444,1.14175,1.26871,0.0016832,0.0016832,0.0016832
18,493.888,1.5002,1.12787,1.25214,0.68717,0.61022,0.663,0.35697,1.49,1.16924,1.25978,0.0016634,0.0016634,0.0016634
19,520.399,1.49818,1.13841,1.247,0.65787,0.61464,0.64751,0.3501,1.51032,1.18049,1.27005,0.0016436,0.0016436,0.0016436
20,546.242,1.49457,1.13079,1.2588,0.64826,0.53013,0.58135,0.32015,1.55584,1.29947,1.32745,0.0016238,0.0016238,0.0016238
21,572.27,1.46856,1.11138,1.24225,0.6638,0.60178,0.64994,0.35481,1.48822,1.17268,1.27328,0.001604,0.001604,0.001604
22,598.833,1.46892,1.09706,1.24352,0.69228,0.6186,0.67638,0.37057,1.47018,1.11618,1.24767,0.0015842,0.0015842,0.0015842
23,625.418,1.46334,1.08321,1.23882,0.72056,0.64867,0.7121,0.39722,1.44441,1.05128,1.23704,0.0015644,0.0015644,0.0015644
24,651.717,1.44624,1.0705,1.22395,0.71282,0.64035,0.7007,0.38779,1.43976,1.05306,1.22191,0.0015446,0.0015446,0.0015446
25,677.82,1.43935,1.04367,1.21988,0.72017,0.67344,0.71893,0.39664,1.45123,1.046,1.2266,0.0015248,0.0015248,0.0015248
26,705.044,1.43735,1.03764,1.21414,0.71993,0.64903,0.71114,0.39345,1.44225,1.04199,1.23106,0.001505,0.001505,0.001505
27,731.855,1.42073,1.03525,1.21168,0.706,0.65284,0.70628,0.40072,1.40892,1.0294,1.20218,0.0014852,0.0014852,0.0014852
28,758.746,1.41613,1.01796,1.2097,0.72798,0.67311,0.73104,0.41415,1.41369,0.99877,1.19558,0.0014654,0.0014654,0.0014654
29,785.826,1.4106,1.01032,1.20089,0.74034,0.66025,0.73498,0.41377,1.41805,0.97264,1.20406,0.0014456,0.0014456,0.0014456
30,812.398,1.40629,1.01401,1.20598,0.74059,0.64524,0.71802,0.40266,1.43793,1.00217,1.21173,0.0014258,0.0014258,0.0014258
31,839.382,1.4127,1.00273,1.20446,0.73379,0.6885,0.74599,0.42476,1.38821,0.95921,1.19246,0.001406,0.001406,0.001406
