epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.96443,1.76561,2.21772,1.46367,0.30658,0.59163,0.29634,0.1281,1.78437,7.531,1.41892,0.00058,0.00058,0.00058
2,14.2349,1.81676,1.68364,1.4425,0.08833,0.52291,0.0749,0.0305,2.05615,inf,2.15121,0.00116832,0.00116832,0.00116832
3,20.2542,1.86196,1.82085,1.48,0.14424,0.3673,0.10444,0.04219,2.20215,12.2334,2.35795,0.00174476,0.00174476,0.00174476
4,26.011,1.8947,1.76089,1.53505,0.13927,0.44629,0.12501,0.04813,2.1142,13.5797,1.95751,0.0019406,0.0019406,0.0019406
5,31.5999,1.845,1.67433,1.492,0.2627,0.41074,0.21819,0.09196,1.98436,5.00903,1.62404,0.0019208,0.0019208,0.0019208
6,37.3,1.8402,1.61325,1.47201,0.31795,0.46445,0.2572,0.10277,2.03006,3.28976,1.59336,0.001901,0.001901,0.001901
7,42.9583,1.82909,1.66609,1.46307,0.48502,0.46422,0.37831,0.16238,1.89249,2.82395,1.55823,0.0018812,0.0018812,0.0018812
8,48.9825,1.76858,1.4933,1.40866,0.48252,0.48499,0.42829,0.19107,1.85729,2.0436,1.51641,0.0018614,0.0018614,0.0018614
9,55.1651,1.75775,1.53775,1.42896,0.48801,0.42891,0.39661,0.17056,1.97691,1.88112,1.53504,0.0018416,0.0018416,0.0018416
10,61.2646,1.74379,1.52912,1.39847,0.52209,0.49447,0.48189,0.21851,1.825,1.67549,1.46577,0.0018218,0.0018218,0.0018218
11,67.8444,1.72396,1.47007,1.39666,0.47822,0.4534,0.38164,0.17042,1.93303,1.8632,1.51652,0.001802,0.001802,0.001802
12,73.9178,1.70307,1.49771,1.40776,0.56026,0.51343,0.51045,0.24355,1.82427,1.55164,1.46914,0.0017822,0.0017822,0.0017822
13,80.2202,1.69057,1.47112,1.38181,0.52179,0.42101,0.4262,0.18559,1.89719,1.77846,1.52386,0.0017624,0.0017624,0.0017624
14,86.1219,1.67157,1.45026,1.37646,0.54456,0.41943,0.46393,0.21105,1.82603,1.61401,1.45731,0.0017426,0.0017426,0.0017426
15,92.1227,1.65187,1.43403,1.37236,0.526,0.49605,0.49373,0.22898,1.78876,1.50766,1.43586,0.0017228,0.0017228,0.0017228
16,98.3676,1.64164,1.387,1.3558,0.56212,0.53236,0.52298,0.25566,1.72013,1.48819,1.38312,0.001703,0.001703,0.001703
17,104.94,1.64699,1.41747,1.35482,0.56523,0.52988,0.51547,0.23424,1.79869,1.62995,1.44877,0.0016832,0.0016832,0.0016832
18,110.793,1.63214,1.38188,1.32307,0.58718,0.56477,0.56298,0.26764,1.73812,1.49225,1.39704,0.0016634,0.0016634,0.0016634
19,117.027,1.63076,1.38946,1.3458,0.61414,0.50237,0.53886,0.25301,1.791,1.57452,1.43719,0.0016436,0.0016436,0.0016436
20,122.791,1.6182,1.35073,1.33083,0.58073,0.52765,0.54324,0.26279,1.75792,1.4341,1.39504,0.0016238,0.0016238,0.0016238
21,128.74,1.60523,1.33988,1.33173,0.56171,0.5011,0.49844,0.22793,1.75139,1.45087,1.39826,0.001604,0.001604,0.001604
22,134.685,1.62653,1.33781,1.34102,0.5832,0.55371,0.55649,0.25832,1.76175,1.44047,1.40425,0.0015842,0.0015842,0.0015842
23,140.811,1.56534,1.32545,1.31587,0.54741,0.51106,0.50948,0.2501,1.72424,1.46727,1.39927,0.0015644,0.0015644,0.0015644
24,146.915,1.61278,1.31565,1.32487,0.57798,0.53397,0.53111,0.25138,1.74714,1.46043,1.41558,0.0015446,0.0015446,0.0015446
25,152.927,1.6321,1.3401,1.35342,0.57229,0.53081,0.53891,0.25727,1.718,1.4433,1.39931,0.0015248,0.0015248,0.0015248
26,158.902,1.58965,1.29553,1.32551,0.60237,0.57795,0.57604,0.28057,1.72683,1.40235,1.38869,0.001505,0.001505,0.001505
27,165.364,1.55436,1.28198,1.31708,0.59637,0.52054,0.52568,0.25154,1.71517,1.47844,1.39419,0.0014852,0.0014852,0.0014852
28,171.443,1.57762,1.26911,1.31642,0.57716,0.56477,0.5636,0.26251,1.73966,1.35355,1.38389,0.0014654,0.0014654,0.0014654
