epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1383.49,2.85671,1.9554,2.34709,0.74756,0.68736,0.75716,0.44217,2.77842,1.82946,2.34978,0.0011882,0.0011882,0.0011882
43,1417.55,2.83052,1.90841,2.34616,0.75296,0.68539,0.75661,0.4398,2.78196,1.81758,2.35624,0.0011684,0.0011684,0.0011684
44,1449.97,2.82671,1.88716,2.32804,0.76518,0.68212,0.76564,0.44732,2.81885,1.77442,2.36914,0.0011486,0.0011486,0.0011486
45,1482.36,2.80218,1.83956,2.31528,0.74863,0.70439,0.76357,0.44747,2.76533,1.78774,2.34781,0.0011288,0.0011288,0.0011288
46,1513.68,2.79438,1.81504,2.30629,0.74117,0.70204,0.76374,0.44478,2.78971,1.79038,2.34927,0.001109,0.001109,0.001109
47,1545.03,2.7958,1.83636,2.32295,0.78623,0.6885,0.77469,0.46083,2.74004,1.70858,2.3258,0.0010892,0.0010892,0.0010892
48,1578.59,2.77116,1.7869,2.28791,0.78572,0.69292,0.7823,0.46756,2.72552,1.67677,2.31471,0.0010694,0.0010694,0.0010694
49,1610.48,2.76833,1.76462,2.29532,0.76496,0.7089,0.77935,0.46375,2.75482,1.66778,2.32732,0.0010496,0.0010496,0.0010496
50,1641.85,2.73893,1.75358,2.28762,0.79193,0.7021,0.78586,0.47173,2.69972,1.63946,2.30156,0.0010298,0.0010298,0.0010298
51,1675.31,2.73058,1.73131,2.27238,0.76298,0.70914,0.78168,0.47051,2.72364,1.69895,2.31724,0.00101,0.00101,0.00101
52,1708.73,2.74196,1.74304,2.28378,0.76956,0.7021,0.77874,0.47027,2.70268,1.67797,2.29118,0.0009902,0.0009902,0.0009902
53,1741.59,2.7158,1.704,2.27096,0.77049,0.72794,0.79413,0.48155,2.69181,1.6132,2.2942,0.0009704,0.0009704,0.0009704
54,1774.87,2.69285,1.71361,2.26956,0.7737,0.72699,0.7921,0.47308,2.7119,1.6654,2.30757,0.0009506,0.0009506,0.0009506
55,1807.6,2.67498,1.67086,2.26085,0.78197,0.72502,0.79556,0.48311,2.67117,1.58782,2.29243,0.0009308,0.0009308,0.0009308
56,1840.62,2.66043,1.67374,2.26539,0.79141,0.72764,0.7978,0.48321,2.69008,1.5924,2.28822,0.000911,0.000911,0.000911
57,1872.45,2.66155,1.63966,2.23262,0.77603,0.72486,0.7933,0.48025,2.67152,1.61494,2.27361,0.0008912,0.0008912,0.0008912
58,1905.6,2.65143,1.61982,2.22801,0.79625,0.72453,0.79955,0.48525,2.70322,1.56577,2.29936,0.0008714,0.0008714,0.0008714
59,1939.22,2.64889,1.62169,2.23669,0.79392,0.74326,0.81027,0.49554,2.6215,1.53045,2.25179,0.0008516,0.0008516,0.0008516
60,1972.84,2.62403,1.61226,2.23235,0.80224,0.72421,0.80667,0.49891,2.63713,1.5262,2.2693,0.0008318,0.0008318,0.0008318
61,2004.93,2.61706,1.61005,2.21969,0.8111,0.7188,0.80602,0.49842,2.61949,1.50407,2.2647,0.000812,0.000812,0.000812
62,2036.12,2.61198,1.5958,2.21461,0.79538,0.73335,0.80698,0.49567,2.63607,1.52713,2.26242,0.0007922,0.0007922,0.0007922
63,2067.3,2.59744,1.55911,2.21531,0.80522,0.72814,0.80481,0.50134,2.59929,1.51228,2.25107,0.0007724,0.0007724,0.0007724
64,2100.48,2.61398,1.57518,2.20689,0.79176,0.74992,0.81075,0.50195,2.60192,1.48709,2.24508,0.0007526,0.0007526,0.0007526
65,2133.8,2.54194,1.50885,2.19158,0.79185,0.75077,0.8151,0.50749,2.58329,1.46571,2.23264,0.0007328,0.0007328,0.0007328
