epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,437.341,3.14031,2.50911,2.53953,0.54616,0.54467,0.53193,0.25738,3.45504,2.76579,2.73755,0.0015842,0.0015842,0.0015842
44,446.993,3.1301,2.49155,2.59693,0.56037,0.58057,0.54227,0.26905,3.40609,2.95432,2.71999,0.0015743,0.0015743,0.0015743
45,456.496,3.2261,2.48408,2.53365,0.55445,0.58294,0.55744,0.26663,3.46917,2.77645,2.74151,0.0015644,0.0015644,0.0015644
46,466.072,3.1427,2.52788,2.55054,0.51984,0.56951,0.52582,0.2547,3.45463,2.81142,2.75128,0.0015545,0.0015545,0.0015545
47,475.685,3.11501,2.40169,2.52207,0.59275,0.52999,0.55649,0.26639,3.57869,2.83406,2.87183,0.0015446,0.0015446,0.0015446
48,485.478,3.15309,2.45521,2.56764,0.58907,0.55134,0.56564,0.26211,3.40908,2.97327,2.73704,0.0015347,0.0015347,0.0015347
49,495.071,3.10196,2.50718,2.54608,0.59512,0.56003,0.57554,0.28113,3.44761,2.67861,2.77768,0.0015248,0.0015248,0.0015248
50,504.687,3.06018,2.39262,2.493,0.54275,0.60848,0.5728,0.27742,3.38786,2.86576,2.74394,0.0015149,0.0015149,0.0015149
51,514.448,3.09006,2.41181,2.46371,0.57857,0.56161,0.55201,0.27471,3.34028,2.8558,2.69922,0.001505,0.001505,0.001505
52,524.027,3.09043,2.45712,2.53011,0.52394,0.58057,0.54226,0.25038,3.58274,2.8035,2.82815,0.0014951,0.0014951,0.0014951
53,533.564,3.24659,2.53013,2.60754,0.56301,0.54186,0.54363,0.26529,3.46507,2.69322,2.75253,0.0014852,0.0014852,0.0014852
54,543.215,3.05271,2.36165,2.51072,0.54969,0.58689,0.57806,0.28707,3.42836,2.63056,2.73293,0.0014753,0.0014753,0.0014753
55,552.846,3.03175,2.28287,2.44688,0.60649,0.54976,0.58618,0.29646,3.38782,2.69065,2.71579,0.0014654,0.0014654,0.0014654
56,562.663,3.07824,2.4514,2.55495,0.62833,0.57899,0.58515,0.28853,3.42245,2.78037,2.74187,0.0014555,0.0014555,0.0014555
57,572.369,3.04398,2.28168,2.47553,0.60235,0.58031,0.59227,0.29738,3.33437,2.6389,2.65389,0.0014456,0.0014456,0.0014456
58,582.403,2.95629,2.18085,2.45432,0.63736,0.56793,0.59944,0.29533,3.38124,2.62068,2.70505,0.0014357,0.0014357,0.0014357
59,591.984,3.00474,2.19053,2.43889,0.60854,0.56872,0.56658,0.28343,3.38807,2.66101,2.73371,0.0014258,0.0014258,0.0014258
60,601.836,3.0591,2.28537,2.49293,0.58033,0.58656,0.576,0.28127,3.43248,2.72014,2.76327,0.0014159,0.0014159,0.0014159
61,611.847,2.96378,2.28915,2.48154,0.6095,0.58057,0.60029,0.29831,3.37917,2.64485,2.7088,0.001406,0.001406,0.001406
62,622.081,3.03285,2.21829,2.43905,0.63089,0.55134,0.59247,0.2963,3.40925,2.65414,2.75229,0.0013961,0.0013961,0.0013961
63,632.038,2.90016,2.18211,2.44259,0.61729,0.58057,0.59088,0.29422,3.443,2.61631,2.76021,0.0013862,0.0013862,0.0013862
64,641.683,2.9131,2.16433,2.46774,0.59699,0.56161,0.56584,0.27301,3.46024,2.85291,2.7926,0.0013763,0.0013763,0.0013763
65,651.522,3.01166,2.20721,2.45976,0.59401,0.57899,0.55722,0.27128,3.49011,2.7259,2.76848,0.0013664,0.0013664,0.0013664
66,661.349,2.99868,2.21224,2.48054,0.59045,0.58057,0.58117,0.29092,3.42328,2.61477,2.72599,0.0013565,0.0013565,0.0013565
67,670.934,2.9519,2.18616,2.45805,0.61087,0.55529,0.57927,0.28964,3.4109,2.74191,2.73742,0.0013466,0.0013466,0.0013466
68,680.529,2.91565,2.17714,2.43844,0.55873,0.53807,0.54193,0.26807,3.42619,2.87745,2.74293,0.0013367,0.0013367,0.0013367
69,690.355,2.94765,2.22615,2.47335,0.60881,0.54502,0.56619,0.28209,3.45453,2.84828,2.77283,0.0013268,0.0013268,0.0013268
70,699.297,2.96815,2.1721,2.44648,0.6194,0.57109,0.58679,0.29337,3.41583,2.63253,2.7347,0.0013169,0.0013169,0.0013169
71,708.621,2.98081,2.03989,2.41976,0.59117,0.57346,0.57953,0.28155,3.48305,2.67255,2.76674,0.001307,0.001307,0.001307
72,717.962,2.90192,2.11566,2.42877,0.59537,0.5703,0.58218,0.29007,3.4704,2.62228,2.76381,0.0012971,0.0012971,0.0012971
73,727.002,2.95945,2.18319,2.41647,0.61892,0.56832,0.59311,0.2918,3.4655,2.61821,2.79055,0.0012872,0.0012872,0.0012872
74,736.086,2.85101,2.08176,2.42556,0.63286,0.53712,0.58839,0.29099,3.44343,2.68319,2.7774,0.0012773,0.0012773,0.0012773
75,744.517,2.89569,2.06788,2.41236,0.56895,0.56508,0.55748,0.27791,3.42603,2.80432,2.76652,0.0012674,0.0012674,0.0012674
76,752.974,2.83998,2.04166,2.37258,0.60717,0.58136,0.58658,0.28535,3.44271,2.82006,2.75079,0.0012575,0.0012575,0.0012575
77,761.573,2.81062,2.00818,2.34315,0.61427,0.58294,0.58556,0.29662,3.42704,2.63637,2.78853,0.0012476,0.0012476,0.0012476
